Timestamp	workload	stress	Marker
3.4858e+03	1.9363e+00	1.1169e+00	0.0000e+00	0.0000e+00
3.4859e+03	1.9348e+00	1.1177e+00	0.0000e+00	0.0000e+00
3.4860e+03	1.9338e+00	1.1186e+00	0.0000e+00	0.0000e+00
3.4861e+03	1.9331e+00	1.1192e+00	0.0000e+00	0.0000e+00
3.4862e+03	1.9325e+00	1.1199e+00	0.0000e+00	0.0000e+00
3.4863e+03	1.9322e+00	1.1206e+00	0.0000e+00	0.0000e+00
3.4864e+03	1.9324e+00	1.1213e+00	0.0000e+00	0.0000e+00
3.4865e+03	1.9330e+00	1.1221e+00	0.0000e+00	0.0000e+00
3.4866e+03	1.9338e+00	1.1231e+00	0.0000e+00	0.0000e+00
3.4867e+03	1.9347e+00	1.1244e+00	0.0000e+00	0.0000e+00
3.4868e+03	1.9365e+00	1.1256e+00	0.0000e+00	0.0000e+00
3.4869e+03	1.9386e+00	1.1269e+00	0.0000e+00	0.0000e+00
3.4870e+03	1.9412e+00	1.1281e+00	0.0000e+00	0.0000e+00
3.4871e+03	1.9439e+00	1.1293e+00	0.0000e+00	0.0000e+00
3.4872e+03	1.9471e+00	1.1305e+00	0.0000e+00	0.0000e+00
3.4873e+03	1.9505e+00	1.1318e+00	0.0000e+00	0.0000e+00
3.4874e+03	1.9540e+00	1.1330e+00	0.0000e+00	0.0000e+00
3.4875e+03	1.9576e+00	1.1343e+00	0.0000e+00	0.0000e+00
3.4876e+03	1.9620e+00	1.1357e+00	0.0000e+00	0.0000e+00
3.4877e+03	1.9668e+00	1.1370e+00	0.0000e+00	0.0000e+00
3.4878e+03	1.9673e+00	1.1376e+00	0.0000e+00	0.0000e+00
3.4879e+03	1.9725e+00	1.1389e+00	0.0000e+00	0.0000e+00
3.4880e+03	1.9779e+00	1.1402e+00	0.0000e+00	0.0000e+00
3.4881e+03	1.9786e+00	1.1410e+00	0.0000e+00	0.0000e+00
3.4882e+03	1.9790e+00	1.1417e+00	0.0000e+00	0.0000e+00
3.4883e+03	1.9838e+00	1.1431e+00	0.0000e+00	0.0000e+00
3.4884e+03	1.9883e+00	1.1443e+00	0.0000e+00	0.0000e+00
3.4885e+03	1.9934e+00	1.1454e+00	0.0000e+00	0.0000e+00
3.4886e+03	1.9982e+00	1.1463e+00	0.0000e+00	0.0000e+00
3.4887e+03	2.0027e+00	1.1470e+00	0.0000e+00	0.0000e+00
3.4888e+03	2.0071e+00	1.1475e+00	0.0000e+00	0.0000e+00
3.4889e+03	2.0108e+00	1.1482e+00	0.0000e+00	0.0000e+00
3.4890e+03	2.0140e+00	1.1488e+00	0.0000e+00	0.0000e+00
3.4891e+03	2.0171e+00	1.1493e+00	0.0000e+00	0.0000e+00
3.4892e+03	2.0207e+00	1.1499e+00	0.0000e+00	0.0000e+00
3.4893e+03	2.0240e+00	1.1505e+00	0.0000e+00	0.0000e+00
3.4894e+03	2.0264e+00	1.1510e+00	0.0000e+00	0.0000e+00
3.4895e+03	2.0284e+00	1.1513e+00	0.0000e+00	0.0000e+00
3.4897e+03	2.0308e+00	1.1516e+00	0.0000e+00	0.0000e+00
3.4897e+03	2.0330e+00	1.1516e+00	0.0000e+00	0.0000e+00
3.4898e+03	2.0348e+00	1.1519e+00	0.0000e+00	0.0000e+00
3.4899e+03	2.0366e+00	1.1523e+00	0.0000e+00	0.0000e+00
3.4900e+03	2.0388e+00	1.1526e+00	0.0000e+00	0.0000e+00
