Timestamp	workload	arousal	Marker
607614.371	2.155	2.576	0.000
607614.376	2.142	2.572	0.000
607614.611	2.131	2.569	0.000
607614.832	2.118	2.566	0.000
607615.052	2.104	2.562	0.000
607615.269	2.091	2.559	0.000
607615.520	2.078	2.556	0.000
607615.730	2.066	2.553	0.000
607615.959	2.053	2.551	0.000
607616.181	2.040	2.548	0.000
607616.187	2.029	2.545	0.000
607616.398	2.020	2.543	0.000
607616.635	2.012	2.540	0.000
607616.850	2.006	2.538	0.000
607617.065	2.000	2.535	0.000
607617.295	1.994	2.533	0.000
607617.518	1.990	2.531	0.000
607617.753	1.985	2.528	0.000
607617.957	1.981	2.526	0.000
607618.195	1.978	2.524	0.000
607618.200	1.975	2.522	0.000
607618.412	1.970	2.520	0.000
607618.645	1.962	2.517	0.000
607618.867	1.954	2.515	0.000
607619.106	1.944	2.513	0.000
607619.307	1.933	2.511	0.000
607619.526	1.922	2.509	0.000
607619.761	1.909	2.507	0.000
607619.986	1.900	2.505	0.000
607619.991	1.892	2.503	0.000
607620.203	1.884	2.501	0.000
607620.423	1.877	2.499	0.000
607620.660	1.870	2.497	0.000
607620.876	1.863	2.494	0.000
607621.120	1.857	2.492	0.000
607621.345	1.851	2.490	0.000
607621.552	1.846	2.488	0.000
607621.769	1.841	2.486	0.000
607621.774	1.836	2.486	0.000
607622.006	1.832	2.484	0.000
607622.226	1.827	2.481	0.000
607622.448	1.822	2.479	0.000
607622.670	1.817	2.477	0.000
607622.890	1.812	2.475	0.000
607623.111	1.807	2.472	0.000
607623.350	1.799	2.470	0.000
607623.569	1.790	2.468	0.000
607623.793	1.783	2.466	0.000
607623.798	1.775	2.466	0.000
607624.012	1.767	2.464	0.000
607624.261	1.760	2.461	0.000
607624.497	1.754	2.459	0.000
607624.722	1.750	2.457	0.000
607624.937	1.751	2.455	0.000
607625.174	1.752	2.453	0.000
607625.418	1.753	2.451	0.000
607625.423	1.755	2.449	0.000
607625.623	1.757	2.447	0.000
607625.846	1.758	2.445	0.000
607626.085	1.759	2.443	0.000
607626.308	1.758	2.441	0.000
607626.545	1.756	2.439	0.000
607626.762	1.752	2.437	0.000
607626.985	1.749	2.435	0.000
607626.993	1.746	2.435	0.000
607627.206	1.743	2.433	0.000
607627.439	1.739	2.432	0.000
607627.672	1.735	2.430	0.000
607627.893	1.729	2.428	0.000
607628.124	1.726	2.427	0.000
607628.336	1.723	2.425	0.000
607628.570	1.720	2.424	0.000
607628.788	1.717	2.422	0.000
607628.793	1.715	2.422	0.000
607629.008	1.715	2.421	0.000
607629.227	1.718	2.419	0.000
607629.449	1.722	2.418	0.000
607629.685	1.728	2.417	0.000
607629.920	1.732	2.415	0.000
607630.127	1.738	2.414	0.000
607630.372	1.747	2.413	0.000
607630.583	1.757	2.412	0.000
607630.589	1.766	2.412	0.000
607630.802	1.774	2.411	0.000
607631.021	1.784	2.410	0.000
607631.242	1.794	2.409	0.000
607631.462	1.803	2.407	0.000
607631.696	1.811	2.406	0.000
607631.914	1.818	2.405	0.000
607632.152	1.816	2.404	0.000
607632.402	1.815	2.404	0.000
607632.407	1.815	2.404	0.000
607632.640	1.817	2.403	0.000
607632.870	1.814	2.402	0.000
607633.080	1.809	2.401	0.000
607633.294	1.803	2.400	0.000
607633.517	1.797	2.399	0.000
607633.734	1.790	2.398	0.000
607633.970	1.783	2.397	0.000
607634.193	1.776	2.396	0.000
607634.197	1.770	2.396	0.000
607634.413	1.764	2.395	0.000
607634.641	1.760	2.394	0.000
607634.878	1.756	2.393	0.000
607635.090	1.754	2.392	0.000
607635.333	1.750	2.391	0.000
607635.549	1.748	2.390	0.000
607635.753	1.751	2.389	0.000
607635.987	1.751	2.388	0.000
607635.992	1.747	2.388	0.000
607636.209	1.743	2.387	0.000
607636.428	1.740	2.386	0.000
607636.649	1.736	2.385	0.000
607636.894	1.732	2.384	0.000
607637.126	1.727	2.383	0.000
607637.333	1.722	2.381	0.000
607637.551	1.716	2.380	0.000
607637.775	1.712	2.379	0.000
607637.781	1.705	2.379	0.000
607638.012	1.697	2.377	0.000
607638.231	1.686	2.376	0.000
607638.450	1.676	2.375	0.000
607638.670	1.664	2.373	0.000
607638.897	1.651	2.371	0.000
607639.132	1.636	2.370	0.000
607639.352	1.642	2.368	0.000
607639.583	1.647	2.366	0.000
607639.804	1.651	2.364	0.000
607639.810	1.656	2.364	0.000
607640.013	1.662	2.363	0.000
607640.244	1.669	2.361	0.000
607640.462	1.674	2.359	0.000
607640.698	1.679	2.357	0.000
607640.919	1.684	2.354	0.000
607641.135	1.687	2.352	0.000
607641.377	1.689	2.350	0.000
607641.582	1.690	2.348	0.000
607641.587	1.690	2.348	0.000
607641.819	1.690	2.345	0.000
607642.024	1.690	2.343	0.000
607642.246	1.688	2.340	0.000
607642.485	1.686	2.337	0.000
607642.704	1.688	2.335	0.000
607642.921	1.689	2.332	0.000
607643.173	1.690	2.329	0.000
607643.178	1.691	2.329	0.000
607643.407	1.693	2.326	0.000
607643.639	1.694	2.323	0.000
607643.851	1.694	2.320	0.000
607644.086	1.690	2.317	0.000
607644.319	1.689	2.314	0.000
607644.524	1.687	2.311	0.000
607644.758	1.685	2.307	0.000
607645.000	1.680	2.304	0.000
607645.007	1.676	2.300	0.000
607645.215	1.672	2.297	0.000
607645.435	1.668	2.293	0.000
607645.640	1.662	2.290	0.000
607645.879	1.656	2.286	0.000
607646.094	1.652	2.282	0.000
607646.351	1.647	2.278	0.000
607646.548	1.642	2.274	0.000
607646.770	1.636	2.270	0.000
607647.002	1.630	2.267	0.000
607647.009	1.626	2.267	0.000
607647.223	1.621	2.262	0.000
607647.443	1.616	2.258	0.000
607647.664	1.615	2.254	0.000
607647.906	1.615	2.250	0.000
607648.103	1.615	2.246	0.000
607648.323	1.613	2.242	0.000
607648.556	1.614	2.237	0.000
607648.776	1.616	2.233	0.000
607648.782	1.619	2.228	0.000
607649.011	1.623	2.224	0.000
607649.232	1.627	2.220	0.000
607649.452	1.632	2.215	0.000
607649.689	1.638	2.211	0.000
607649.926	1.645	2.206	0.000
607650.169	1.651	2.202	0.000
607650.380	1.658	2.197	0.000
607650.388	1.664	2.197	0.000
607650.598	1.670	2.193	0.000
607650.821	1.676	2.188	0.000
607651.088	1.682	2.184	0.000
607651.324	1.687	2.179	0.000
607651.559	1.693	2.174	0.000
607651.762	1.697	2.170	0.000
607651.985	1.702	2.165	0.000
607651.991	1.707	2.161	0.000
607652.223	1.713	2.156	0.000
607652.430	1.718	2.152	0.000
607652.659	1.724	2.147	0.000
607652.872	1.730	2.143	0.000
607653.101	1.737	2.139	0.000
607653.324	1.744	2.134	0.000
607653.545	1.751	2.130	0.000
607653.781	1.758	2.125	0.000
607653.786	1.767	2.125	0.000
607654.000	1.775	2.121	0.000
607654.217	1.780	2.117	0.000
607654.454	1.782	2.113	0.000
607654.677	1.783	2.108	0.000
607654.903	1.778	2.104	0.000
607655.113	1.774	2.100	0.000
607655.334	1.769	2.096	0.000
607655.575	1.763	2.092	0.000
607655.790	1.758	2.088	0.000
607655.795	1.751	2.088	0.000
607656.011	1.744	2.084	0.000
607656.248	1.736	2.080	0.000
607656.469	1.729	2.076	0.000
607656.689	1.721	2.072	0.000
607656.934	1.712	2.068	0.000
607657.141	1.703	2.064	0.000
607657.346	1.694	2.061	0.000
607657.581	1.686	2.057	0.000
607657.585	1.686	2.057	0.000
607657.800	1.686	2.053	0.000
607658.020	1.686	2.050	0.000
607658.255	1.686	2.046	0.000
607658.477	1.687	2.043	0.000
607658.698	1.686	2.039	0.000
607658.947	1.685	2.036	0.000
607659.153	1.683	2.032	0.000
607659.369	1.678	2.029	0.000
607659.374	1.673	2.025	0.000
607659.605	1.666	2.022	0.000
