Timestamp	GSR	PPG	Marker	MarkerTimestamp
2337288.108	1.909	2736.264	0.000	0.000
2337288.124	1.903	2484.249	0.000	0.000
2337288.139	1.909	2191.941	0.000	0.000
2337288.149	1.917	1924.542	0.000	0.000
2337288.164	1.914	1700.366	0.000	0.000
2337288.180	1.906	1524.542	0.000	0.000
2337288.195	1.903	1407.326	0.000	0.000
2337288.211	1.911	1354.579	0.000	0.000
2337288.227	1.918	1356.044	0.000	0.000
2337288.242	1.909	1391.209	0.000	0.000
2337288.258	1.903	1437.363	0.000	0.000
2337288.289	1.906	1469.597	0.000	0.000
2337288.304	1.915	1474.725	0.000	0.000
2337288.320	1.915	1449.084	0.000	0.000
2337288.335	1.908	1401.465	0.000	0.000
2337288.351	1.902	1331.868	0.000	0.000
2337288.367	1.909	1250.549	0.000	0.000
2337288.382	1.917	1171.429	0.000	0.000
2337288.398	1.912	1095.971	0.000	0.000
2337288.411	1.903	1028.571	0.000	0.000
2337288.427	1.906	975.092	0.000	0.000
2337288.442	1.912	945.788	0.000	0.000
2337288.458	1.917	934.799	0.000	0.000
2337288.474	1.908	944.322	0.000	0.000
2337288.489	1.900	964.835	0.000	0.000
2337288.505	1.909	993.407	0.000	0.000
2337288.520	1.917	1019.048	0.000	0.000
2337288.527	1.912	1036.630	0.000	0.000
2337288.543	1.905	1036.630	0.000	0.000
2337288.559	1.902	1019.780	0.000	0.000
2337288.574	1.912	1008.059	0.000	0.000
2337288.590	1.915	1004.396	0.000	0.000
2337288.605	1.908	1004.396	0.000	0.000
2337288.621	1.900	991.209	0.000	0.000
2337288.637	1.908	964.103	0.000	0.000
2337288.659	1.914	934.799	0.000	0.000
2337288.674	1.912	905.495	0.000	0.000
2337288.690	1.905	890.110	0.000	0.000
2337288.705	1.902	893.773	0.000	0.000
2337288.721	1.909	895.971	0.000	0.000
2337288.737	1.915	895.971	0.000	0.000
2337288.752	1.909	895.971	0.000	0.000
2337288.768	1.902	892.308	0.000	0.000
2337288.784	1.906	883.516	0.000	0.000
2337288.799	1.914	889.377	0.000	0.000
